Metadata_Plate,Metadata_Well,Metadata_PatientID,Metadata_CellType,Metadata_Differentiation_Day
BR00101077,A01,,,
BR00101077,A02,,,
BR00101077,A03,,,
BR00101077,A04,,,
BR00101077,A05,,,
BR00101077,A06,,,
BR00101077,A07,,,
BR00101077,A08,,,
BR00101077,A09,,,
BR00101077,A10,,,
BR00101077,A11,,,
BR00101077,A12,,,
BR00101077,B01,,,
BR00101077,B02,050fd597-279f-4d7d-a250-68a6df216da6,vc,D14,
BR00101077,B03,45adb24f-23b7-43f8-9612-0a7ecaa22ada,sc,D14,
BR00101077,B04,45adb24f-23b7-43f8-9612-0a7ecaa22ada,vc,D14,
BR00101077,B05,536e8e82-761b-453a-ad72-1c925afb6d04,sc,D14,
BR00101077,B06,536e8e82-761b-453a-ad72-1c925afb6d04,vc,D14,
BR00101077,B07,abfd88f9-47a0-4161-9333-a848451ea880,sc,D14,
BR00101077,B08,abfd88f9-47a0-4161-9333-a848451ea880,vc,D14,
BR00101077,B09,,,
BR00101077,B10,,,
BR00101077,B11,,,
BR00101077,B12,,,
BR00101077,C01,,,
BR00101077,C02,050fd597-279f-4d7d-a250-68a6df216da6,vc,D14,
BR00101077,C03,45adb24f-23b7-43f8-9612-0a7ecaa22ada,sc,D14,
BR00101077,C04,45adb24f-23b7-43f8-9612-0a7ecaa22ada,vc,D14,
BR00101077,C05,536e8e82-761b-453a-ad72-1c925afb6d04,sc,D14,
BR00101077,C06,536e8e82-761b-453a-ad72-1c925afb6d04,vc,D14,
BR00101077,C07,abfd88f9-47a0-4161-9333-a848451ea880,sc,D14,
BR00101077,C08,abfd88f9-47a0-4161-9333-a848451ea880,vc,D14,
BR00101077,C09,,,
BR00101077,C10,,,
BR00101077,C11,,,
BR00101077,C12,,,
BR00101077,D01,,,
BR00101077,D02,050fd597-279f-4d7d-a250-68a6df216da6,vc,D14,
BR00101077,D03,45adb24f-23b7-43f8-9612-0a7ecaa22ada,sc,D14,
BR00101077,D04,45adb24f-23b7-43f8-9612-0a7ecaa22ada,vc,D14,
BR00101077,D05,536e8e82-761b-453a-ad72-1c925afb6d04,sc,D14,
BR00101077,D06,536e8e82-761b-453a-ad72-1c925afb6d04,vc,D14,
BR00101077,D07,abfd88f9-47a0-4161-9333-a848451ea880,sc,D14,
BR00101077,D08,abfd88f9-47a0-4161-9333-a848451ea880,vc,D14,
BR00101077,D09,,,
BR00101077,D10,,,
BR00101077,D11,,,
BR00101077,D12,,,
BR00101077,E01,,,
BR00101077,E02,050fd597-279f-4d7d-a250-68a6df216da6,vc,D14,
BR00101077,E03,45adb24f-23b7-43f8-9612-0a7ecaa22ada,sc,D14,
BR00101077,E04,45adb24f-23b7-43f8-9612-0a7ecaa22ada,vc,D14,
BR00101077,E05,536e8e82-761b-453a-ad72-1c925afb6d04,sc,D14,
BR00101077,E06,536e8e82-761b-453a-ad72-1c925afb6d04,vc,D14,
BR00101077,E07,abfd88f9-47a0-4161-9333-a848451ea880,sc,D14,
BR00101077,E08,abfd88f9-47a0-4161-9333-a848451ea880,vc,D14,
BR00101077,E09,,,
BR00101077,E10,,,
BR00101077,E11,,,
BR00101077,E12,,,
BR00101077,F01,,,
BR00101077,F02,050fd597-279f-4d7d-a250-68a6df216da6,vc,D14,
BR00101077,F03,45adb24f-23b7-43f8-9612-0a7ecaa22ada,sc,D14,
BR00101077,F04,45adb24f-23b7-43f8-9612-0a7ecaa22ada,vc,D14,
BR00101077,F05,536e8e82-761b-453a-ad72-1c925afb6d04,sc,D14,
BR00101077,F06,536e8e82-761b-453a-ad72-1c925afb6d04,vc,D14,
BR00101077,F07,abfd88f9-47a0-4161-9333-a848451ea880,sc,D14,
BR00101077,F08,abfd88f9-47a0-4161-9333-a848451ea880,vc,D14,
BR00101077,F09,,,
BR00101077,F10,,,
BR00101077,F11,,,
BR00101077,F12,,,
BR00101077,G01,,,
BR00101077,G02,050fd597-279f-4d7d-a250-68a6df216da6,vc,D14,
BR00101077,G03,45adb24f-23b7-43f8-9612-0a7ecaa22ada,sc,D14,
BR00101077,G04,45adb24f-23b7-43f8-9612-0a7ecaa22ada,vc,D14,
BR00101077,G05,536e8e82-761b-453a-ad72-1c925afb6d04,sc,D14,
BR00101077,G06,536e8e82-761b-453a-ad72-1c925afb6d04,vc,D14,
BR00101077,G07,abfd88f9-47a0-4161-9333-a848451ea880,sc,D14,
BR00101077,G08,abfd88f9-47a0-4161-9333-a848451ea880,vc,D14,
BR00101077,G09,,,
BR00101077,G10,,,
BR00101077,G11,,,
BR00101077,G12,,,
BR00101077,H01,,,
BR00101077,H02,,,
BR00101077,H03,,,
BR00101077,H04,,,
BR00101077,H05,,,
BR00101077,H06,,,
BR00101077,H07,,,
BR00101077,H08,,,
BR00101077,H09,,,
BR00101077,H10,,,
BR00101077,H11,,,
BR00101077,H12,,,
